address,type_house,type_forrent,area,floor,furniture,condition,price
"193 Quốc tế, Q2",phòng trọ,cho thuê,13.0,0,đầy đủ,cũ,1500000.0
"106 Nguyễn Huệ, Q10",phòng trọ,cho thuê,11.0,0,cơ bản,tốt,1000000.0
"91 Hải Thượng Lãn Ông, Q8",chung cư,cho thuê,65.0,9,đầy đủ,cũ,9500000.0
"46 Công xã Paris, Q7",phòng trọ,cho thuê,11.0,0,cơ bản,mới,700000.0
"116 Nguyễn Hữu Cảnh, Q8",nhà nguyên căn,bán,45.0,3,không có,tốt,3015400000.0
"118 Lê Lợi, Q1",phòng trọ,cho thuê,17.0,0,đầy đủ,cũ,1700000.0
"161 Hàm Nghi, Q3",phòng trọ,cho thuê,14.0,0,đầy đủ,mới,1700000.0
"38 Nguyễn Hữu Cảnh, Q2",phòng trọ,cho thuê,11.0,0,đầy đủ,cũ,1400000.0
"3 Phạm Ngũ Lão, Q4",văn phòng,cho thuê,560.0,2,cơ bản,cũ,782800000.0
"69 Bùi Viện, Q5",phòng trọ,cho thuê,11.0,0,đầy đủ,tốt,1500000.0
"107 Nguyễn Văn Linh, Q6",phòng trọ,cho thuê,16.0,0,đầy đủ,tốt,1900000.0
"18 Lũy Bán Bích, Q10",nhà nguyên căn,cho thuê,43.0,5,không có,cũ,19300000.0
"89 Quách Thị Trang, Q2",phòng trọ,cho thuê,19.0,0,đầy đủ,cũ,2400000.0
"109 Lam Sơn, Q7",phòng trọ,cho thuê,15.0,0,đầy đủ,cũ,1800000.0
"109 CMT8, Q10",phòng trọ,cho thuê,16.0,0,cơ bản,tốt,1500000.0
"74 Mai Chí Thọ, Q3",phòng trọ,cho thuê,11.0,0,không có,mới,1900000.0
"153 Lý Thường Kiệt, Q4",văn phòng,bán,260.0,15,cơ bản,cũ,6575000000.0
"39 Nguyễn Hữu Cảnh, Q1",phòng trọ,cho thuê,17.0,0,không có,cũ,2200000.0
"185 CMT8, Q3",phòng trọ,cho thuê,9.0,0,đầy đủ,mới,700000.0
"21 Nguyễn Hữu Cảnh, Q2",phòng trọ,cho thuê,13.0,0,cơ bản,mới,2100000.0
"183 Lạc Long Quân, Q9",nhà nguyên căn,bán,45.0,3,không có,cũ,5520600000.0
"106 Lũy Bán Bích, Q4",nhà nguyên căn,bán,37.0,2,không có,mới,5526900000.0
"83 Tôn Đức Thắng, Q6",phòng trọ,cho thuê,16.0,0,không có,cũ,1500000.0
"107 Lý Thường Kiệt, Q8",nhà nguyên căn,cho thuê,31.0,3,đầy đủ,mới,14100000.0
"137 Hàm Nghi, Q4",phòng trọ,cho thuê,16.0,0,không có,cũ,1700000.0
"89 Bùi Viện, Q9",phòng trọ,cho thuê,10.0,0,cơ bản,mới,800000.0
"38 Công xã Paris, Q9",phòng trọ,cho thuê,10.0,0,đầy đủ,tốt,1200000.0
"31 Lê Văn Duyệt, Q8",phòng trọ,cho thuê,10.0,0,cơ bản,cũ,1400000.0
"40 CMT8, Q9",phòng trọ,cho thuê,20.0,0,đầy đủ,cũ,1300000.0
"79 Hàm Nghi, Q2",văn phòng,cho thuê,360.0,7,không có,tốt,453800000.0
"48 Cách Mạng Tháng Tám, Q5",phòng trọ,cho thuê,17.0,0,đầy đủ,mới,2200000.0
"62 Nguyễn Hữu Cảnh, Q3",nhà nguyên căn,bán,34.0,2,cơ bản,cũ,1913800000.0
"18 Võ Chí Công, Q10",phòng trọ,cho thuê,20.0,0,cơ bản,mới,3700000.0
"12 CMT8, Q5",phòng trọ,cho thuê,20.0,0,đầy đủ,tốt,3600000.0
"108 Trần Hưng Đạo, Q7",nhà nguyên căn,cho thuê,37.0,3,đầy đủ,cũ,14000000.0
"95 Nguyễn Văn Linh, Q7",phòng trọ,cho thuê,16.0,0,cơ bản,mới,2300000.0
"159 Võ Chí Công, Q10",phòng trọ,cho thuê,10.0,0,cơ bản,mới,900000.0
"43 Nguyễn Trãi, Q6",phòng trọ,cho thuê,17.0,0,cơ bản,cũ,1900000.0
"161 Lũy Bán Bích, Q8",phòng trọ,cho thuê,10.0,0,cơ bản,cũ,900000.0
"156 Hùng Vương, Q1",phòng trọ,cho thuê,17.0,0,đầy đủ,tốt,1900000.0
"160 Trần Hưng Đạo, Q2",phòng trọ,cho thuê,10.0,0,cơ bản,mới,800000.0
"182 Võ Nguyên Giáp, Q7",phòng trọ,cho thuê,14.0,0,không có,mới,2200000.0
"76 Xô Viết Nghệ Tĩnh, Q4",phòng trọ,cho thuê,11.0,0,đầy đủ,mới,2200000.0
"151 Công xã Paris, Q8",nhà nguyên căn,cho thuê,38.0,4,cơ bản,cũ,14800000.0
"145 CMT8, Q9",phòng trọ,cho thuê,18.0,0,không có,cũ,1500000.0
"167 Nguyễn Hữu Cảnh, Q3",phòng trọ,cho thuê,18.0,0,không có,cũ,1000000.0
"86 Nguyễn Thị Minh Khai, Q10",chung cư,bán,70.0,2,không có,mới,6613200000.0
"175 Lũy Bán Bích, Q6",văn phòng,cho thuê,405.0,16,không có,tốt,305900000.0
"3 Nguyễn Thị Minh Khai, Q3",phòng trọ,cho thuê,20.0,0,cơ bản,mới,2000000.0
"154 Bùi Viện, Q1",nhà nguyên căn,bán,32.0,5,cơ bản,mới,8134400000.0
"13 Võ Nguyên Giáp, Q1",phòng trọ,cho thuê,15.0,0,cơ bản,cũ,1800000.0
"40 Lê Lợi, Q7",nhà nguyên căn,bán,28.0,1,đầy đủ,cũ,1802700000.0
"148 Nguyễn Trãi, Q6",phòng trọ,cho thuê,17.0,0,cơ bản,tốt,1400000.0
"118 Pasteur, Q5",phòng trọ,cho thuê,11.0,0,đầy đủ,mới,1900000.0
"89 Bùi Viện, Q10",nhà nguyên căn,cho thuê,28.0,4,không có,cũ,15000000.0
"175 Lê Duẩn, Q7",nhà nguyên căn,cho thuê,44.0,1,không có,mới,4200000.0
"158 Nguyễn Thị Minh Khai, Q5",phòng trọ,cho thuê,12.0,0,cơ bản,tốt,1500000.0
"5 Mai Chí Thọ, Q3",phòng trọ,cho thuê,9.0,0,không có,mới,800000.0
"30 Nguyễn Hữu Cảnh, Q8",phòng trọ,cho thuê,19.0,0,đầy đủ,mới,1500000.0
"159 Nam Kỳ Khởi Nghĩa, Q7",phòng trọ,cho thuê,17.0,0,đầy đủ,cũ,1800000.0
"183 Nguyễn Thị Minh Khai, Q6",phòng trọ,cho thuê,13.0,0,cơ bản,mới,1000000.0
"152 Trần Hưng Đạo, Q7",phòng trọ,cho thuê,19.0,0,cơ bản,mới,1600000.0
"36 Tôn Đức Thắng, Q10",phòng trọ,cho thuê,14.0,0,cơ bản,mới,2400000.0
"191 Võ Nguyên Giáp, Q4",phòng trọ,cho thuê,13.0,0,cơ bản,mới,2000000.0
"165 Trường Chinh, Q9",phòng trọ,cho thuê,12.0,0,cơ bản,cũ,1600000.0
"1 Nguyễn Hữu Cảnh, Q5",phòng trọ,cho thuê,17.0,0,cơ bản,cũ,1400000.0
"67 Phạm Ngũ Lão, Q2",phòng trọ,cho thuê,13.0,0,cơ bản,tốt,2000000.0
"173 Cách Mạng Tháng Tám, Q9",nhà nguyên căn,cho thuê,31.0,4,cơ bản,mới,16400000.0
"3 Tôn Đức Thắng, Q2",phòng trọ,cho thuê,9.0,0,đầy đủ,cũ,1200000.0
"80 Lý Tự Trọng, Q4",văn phòng,cho thuê,480.0,8,cơ bản,tốt,210800000.0
"24 Âu Cơ, Q8",phòng trọ,cho thuê,12.0,0,đầy đủ,tốt,900000.0
"184 Lê Duẩn, Q9",phòng trọ,cho thuê,14.0,0,cơ bản,cũ,2000000.0
"77 Lê Lợi, Q5",chung cư,bán,75.0,19,đầy đủ,mới,4205300000.0
"11 Nam Kỳ Khởi Nghĩa, Q7",chung cư,bán,120.0,10,cơ bản,cũ,5767400000.0
"133 Cách Mạng Tháng Tám, Q1",phòng trọ,cho thuê,13.0,0,không có,mới,2500000.0
"185 Rừng Sác, Q3",nhà nguyên căn,cho thuê,36.0,3,cơ bản,mới,21000000.0
"182 Trường Chinh, Q10",nhà nguyên căn,cho thuê,33.0,4,cơ bản,tốt,13400000.0
"127 Lũy Bán Bích, Q8",phòng trọ,cho thuê,12.0,0,không có,tốt,1400000.0
"111 Hùng Vương, Q4",phòng trọ,cho thuê,19.0,0,cơ bản,cũ,2400000.0
"4 Công xã Paris, Q4",phòng trọ,cho thuê,20.0,0,cơ bản,cũ,1900000.0
"11 Xô Viết Nghệ Tĩnh, Q1",phòng trọ,cho thuê,11.0,0,đầy đủ,mới,2100000.0
"129 Âu Cơ, Q8",phòng trọ,cho thuê,9.0,0,không có,mới,1200000.0
"83 Phạm Ngũ Lão, Q10",phòng trọ,cho thuê,18.0,0,không có,tốt,1300000.0
"105 Âu Cơ, Q9",chung cư,cho thuê,84.0,2,đầy đủ,cũ,15600000.0
"125 Dân Chủ, Q7",phòng trọ,cho thuê,14.0,0,đầy đủ,mới,2600000.0
"7 Quốc tế, Q1",phòng trọ,cho thuê,20.0,0,cơ bản,tốt,3300000.0
"98 Lũy Bán Bích, Q5",phòng trọ,cho thuê,20.0,0,đầy đủ,cũ,2200000.0
"87 Châu Văn Liêm, Q7",phòng trọ,cho thuê,10.0,0,không có,tốt,1100000.0
"106 Lam Sơn, Q6",phòng trọ,cho thuê,17.0,0,cơ bản,tốt,1900000.0
"147 Xô Viết Nghệ Tĩnh, Q4",phòng trọ,cho thuê,11.0,0,không có,cũ,1400000.0
"75 Lê Văn Duyệt, Q7",phòng trọ,cho thuê,14.0,0,không có,cũ,800000.0
"4 Rừng Sác, Q3",phòng trọ,cho thuê,19.0,0,không có,cũ,2700000.0
"17 Đồng Khởi, Q2",phòng trọ,cho thuê,14.0,0,đầy đủ,cũ,1300000.0
"143 Quốc tế, Q4",phòng trọ,cho thuê,9.0,0,không có,tốt,1300000.0
"44 Phạm Ngũ Lão, Q6",phòng trọ,cho thuê,16.0,0,cơ bản,tốt,2400000.0
"111 Lam Sơn, Q7",phòng trọ,cho thuê,13.0,0,không có,mới,1600000.0
"18 Lê Văn Duyệt, Q6",phòng trọ,cho thuê,13.0,0,cơ bản,cũ,1400000.0
"43 Lê Duẩn, Q9",chung cư,bán,70.0,1,không có,cũ,2852900000.0
"58 Đồng Khởi, Q3",phòng trọ,cho thuê,16.0,0,không có,tốt,2500000.0
"31 Công xã Paris, Q7",phòng trọ,cho thuê,11.0,0,cơ bản,mới,1700000.0
"46 Hải Thượng Lãn Ông, Q9",phòng trọ,cho thuê,13.0,0,không có,tốt,1500000.0
"97 Lạc Long Quân, Q10",phòng trọ,cho thuê,20.0,0,cơ bản,cũ,2000000.0
"5 Âu Cơ, Q4",phòng trọ,cho thuê,15.0,0,không có,tốt,1100000.0
"170 Lũy Bán Bích, Q10",phòng trọ,cho thuê,12.0,0,không có,mới,2000000.0
"155 Hùng Vương, Q5",phòng trọ,cho thuê,10.0,0,không có,mới,1800000.0
"193 Lê Duẩn, Q1",chung cư,bán,124.0,16,không có,cũ,6078000000.0
"64 Cách Mạng Tháng Tám, Q1",phòng trọ,cho thuê,19.0,0,không có,mới,1700000.0
"43 Lam Sơn, Q2",phòng trọ,cho thuê,14.0,0,đầy đủ,mới,2100000.0
"105 Dân Chủ, Q6",phòng trọ,cho thuê,20.0,0,không có,tốt,2800000.0
"48 Võ Nguyên Giáp, Q8",phòng trọ,cho thuê,16.0,0,không có,mới,900000.0
"8 Nguyễn Trãi, Q9",phòng trọ,cho thuê,10.0,0,đầy đủ,tốt,1000000.0
"107 Đồng Khởi, Q6",phòng trọ,cho thuê,12.0,0,đầy đủ,cũ,900000.0
"27 Nguyễn Thị Minh Khai, Q1",nhà nguyên căn,cho thuê,40.0,3,không có,tốt,19700000.0
"144 Võ Chí Công, Q9",phòng trọ,cho thuê,10.0,0,không có,tốt,800000.0
"64 Lũy Bán Bích, Q5",phòng trọ,cho thuê,14.0,0,không có,mới,1800000.0
"24 Lũy Bán Bích, Q7",phòng trọ,cho thuê,19.0,0,đầy đủ,tốt,3000000.0
"24 Trần Hưng Đạo, Q10",phòng trọ,cho thuê,15.0,0,không có,mới,2100000.0
"161 Võ Chí Công, Q10",phòng trọ,cho thuê,16.0,0,không có,cũ,2500000.0
"198 Hùng Vương, Q3",phòng trọ,cho thuê,12.0,0,đầy đủ,tốt,1500000.0
"18 Châu Văn Liêm, Q7",phòng trọ,cho thuê,12.0,0,cơ bản,mới,1300000.0
"143 Lý Thường Kiệt, Q4",phòng trọ,cho thuê,11.0,0,không có,mới,1700000.0
"100 Lê Duẩn, Q2",văn phòng,cho thuê,260.0,16,không có,mới,351700000.0
"197 Lũy Bán Bích, Q9",phòng trọ,cho thuê,20.0,0,không có,tốt,2000000.0
"100 Quách Thị Trang, Q5",phòng trọ,cho thuê,19.0,0,không có,cũ,1900000.0
"59 Hải Thượng Lãn Ông, Q6",phòng trọ,cho thuê,11.0,0,đầy đủ,mới,1500000.0
"30 Lý Thường Kiệt, Q9",nhà nguyên căn,cho thuê,43.0,1,đầy đủ,tốt,6000000.0
"129 Lũy Bán Bích, Q7",phòng trọ,cho thuê,16.0,0,cơ bản,mới,2700000.0
"15 Nguyễn Hữu Cảnh, Q7",nhà nguyên căn,cho thuê,42.0,4,cơ bản,mới,22400000.0
"31 Võ Nguyên Giáp, Q8",phòng trọ,cho thuê,13.0,0,không có,mới,1800000.0
"174 Nguyễn Hữu Cảnh, Q1",phòng trọ,cho thuê,15.0,0,không có,cũ,2400000.0
"132 Cách Mạng Tháng Tám, Q6",chung cư,cho thuê,75.0,3,không có,cũ,11000000.0
"78 Hàm Nghi, Q5",nhà nguyên căn,bán,42.0,1,không có,mới,2583300000.0
"98 Lý Thường Kiệt, Q5",nhà nguyên căn,cho thuê,42.0,1,đầy đủ,mới,5200000.0
"144 Lũy Bán Bích, Q9",văn phòng,bán,525.0,7,đầy đủ,mới,52476400000.0
"110 Nam Kỳ Khởi Nghĩa, Q2",phòng trọ,cho thuê,16.0,0,cơ bản,cũ,2300000.0
"173 Tôn Đức Thắng, Q6",nhà nguyên căn,cho thuê,43.0,1,đầy đủ,cũ,4900000.0
"10 Cách Mạng Tháng Tám, Q1",chung cư,bán,124.0,2,cơ bản,cũ,5025700000.0
"8 Lê Văn Duyệt, Q4",phòng trọ,cho thuê,16.0,0,không có,cũ,2200000.0
"183 Cách Mạng Tháng Tám, Q5",phòng trọ,cho thuê,11.0,0,cơ bản,mới,1900000.0
"6 Dân Chủ, Q9",phòng trọ,cho thuê,16.0,0,không có,tốt,1700000.0
"134 Xô Viết Nghệ Tĩnh, Q2",phòng trọ,cho thuê,17.0,0,đầy đủ,tốt,1600000.0
"182 Lam Sơn, Q7",phòng trọ,cho thuê,16.0,0,cơ bản,mới,2800000.0
"157 Nguyễn Hữu Cảnh, Q1",phòng trọ,cho thuê,12.0,0,cơ bản,tốt,1600000.0
"30 Lý Thường Kiệt, Q10",phòng trọ,cho thuê,11.0,0,cơ bản,mới,2000000.0
"198 Mê Linh, Q7",phòng trọ,cho thuê,18.0,0,cơ bản,tốt,2700000.0
"99 Trường Chinh, Q7",phòng trọ,cho thuê,15.0,0,cơ bản,tốt,1100000.0
"18 Võ Nguyên Giáp, Q1",chung cư,bán,75.0,16,cơ bản,tốt,2925300000.0
"115 Lạc Long Quân, Q3",phòng trọ,cho thuê,9.0,0,không có,mới,1600000.0
"72 Mê Linh, Q6",văn phòng,cho thuê,160.0,14,không có,tốt,192500000.0
"7 Võ Chí Công, Q7",phòng trọ,cho thuê,18.0,0,không có,cũ,1200000.0
"97 Mai Chí Thọ, Q8",chung cư,bán,84.0,7,đầy đủ,mới,5558200000.0
"57 Lý Tự Trọng, Q9",phòng trọ,cho thuê,18.0,0,đầy đủ,mới,1800000.0
"17 Phạm Ngũ Lão, Q4",phòng trọ,cho thuê,11.0,0,cơ bản,mới,1000000.0
"200 Nguyễn Hữu Cảnh, Q2",phòng trọ,cho thuê,17.0,0,đầy đủ,cũ,1100000.0
"121 Âu Cơ, Q10",phòng trọ,cho thuê,20.0,0,cơ bản,tốt,1300000.0
"83 Lê Duẩn, Q10",phòng trọ,cho thuê,9.0,0,đầy đủ,cũ,700000.0
"74 Lý Tự Trọng, Q10",phòng trọ,cho thuê,10.0,0,cơ bản,mới,1700000.0
"200 Mê Linh, Q4",phòng trọ,cho thuê,9.0,0,đầy đủ,mới,1100000.0
"52 Phạm Ngũ Lão, Q2",phòng trọ,cho thuê,14.0,0,cơ bản,cũ,1000000.0
"4 Xô Viết Nghệ Tĩnh, Q7",phòng trọ,cho thuê,14.0,0,đầy đủ,cũ,800000.0
"91 Hàm Nghi, Q10",phòng trọ,cho thuê,11.0,0,không có,mới,800000.0
"28 Trần Hưng Đạo, Q8",phòng trọ,cho thuê,11.0,0,cơ bản,mới,1100000.0
"86 Hàm Nghi, Q10",chung cư,bán,65.0,5,cơ bản,mới,3915100000.0
"50 Phạm Ngũ Lão, Q4",chung cư,bán,75.0,3,không có,tốt,5086500000.0
"30 Võ Chí Công, Q5",phòng trọ,cho thuê,12.0,0,cơ bản,mới,2500000.0
"177 Xô Viết Nghệ Tĩnh, Q9",phòng trọ,cho thuê,11.0,0,đầy đủ,cũ,1400000.0
"86 Châu Văn Liêm, Q1",văn phòng,cho thuê,495.0,16,không có,mới,940700000.0
"118 Lý Thường Kiệt, Q10",phòng trọ,cho thuê,17.0,0,không có,mới,1700000.0
"162 Lý Thường Kiệt, Q3",nhà nguyên căn,cho thuê,28.0,3,không có,tốt,12400000.0
"1 Trường Chinh, Q4",chung cư,bán,90.0,12,cơ bản,mới,6581100000.0
"12 Âu Cơ, Q1",nhà nguyên căn,bán,30.0,1,đầy đủ,tốt,964000000.0
"70 Lý Tự Trọng, Q6",phòng trọ,cho thuê,11.0,0,cơ bản,mới,1300000.0
"163 Võ Chí Công, Q3",phòng trọ,cho thuê,15.0,0,đầy đủ,tốt,3100000.0
"35 Phạm Ngũ Lão, Q2",phòng trọ,cho thuê,18.0,0,cơ bản,cũ,1900000.0
"143 Mai Chí Thọ, Q2",phòng trọ,cho thuê,14.0,0,cơ bản,mới,2100000.0
"12 Nguyễn Trãi, Q8",phòng trọ,cho thuê,11.0,0,cơ bản,mới,1600000.0
"41 Nguyễn Huệ, Q6",phòng trọ,cho thuê,18.0,0,cơ bản,tốt,2200000.0
"145 Lý Tự Trọng, Q9",phòng trọ,cho thuê,18.0,0,đầy đủ,tốt,1200000.0
"117 Âu Cơ, Q1",phòng trọ,cho thuê,13.0,0,không có,mới,1700000.0
"139 Lũy Bán Bích, Q2",phòng trọ,cho thuê,13.0,0,cơ bản,tốt,900000.0
"79 Lê Duẩn, Q1",phòng trọ,cho thuê,20.0,0,đầy đủ,mới,3200000.0
"65 Lê Lợi, Q8",phòng trọ,cho thuê,20.0,0,cơ bản,cũ,1000000.0
"62 Rừng Sác, Q7",phòng trọ,cho thuê,14.0,0,không có,mới,2400000.0
"154 Hùng Vương, Q1",phòng trọ,cho thuê,16.0,0,cơ bản,cũ,2200000.0
"55 Rừng Sác, Q1",phòng trọ,cho thuê,18.0,0,cơ bản,cũ,2100000.0
"177 Xô Viết Nghệ Tĩnh, Q10",nhà nguyên căn,bán,31.0,1,cơ bản,cũ,2635700000.0
"88 Quốc tế, Q7",phòng trọ,cho thuê,11.0,0,không có,mới,1600000.0
"162 Tôn Đức Thắng, Q3",phòng trọ,cho thuê,14.0,0,đầy đủ,cũ,1400000.0
"118 Châu Văn Liêm, Q1",chung cư,bán,124.0,19,đầy đủ,mới,5507800000.0
"69 Đồng Khởi, Q10",chung cư,bán,75.0,3,đầy đủ,cũ,3834900000.0
"55 Mai Chí Thọ, Q4",phòng trọ,cho thuê,20.0,0,không có,mới,2900000.0
"31 Hải Thượng Lãn Ông, Q9",phòng trọ,cho thuê,18.0,0,đầy đủ,tốt,2000000.0
"149 Lam Sơn, Q10",chung cư,bán,90.0,4,không có,mới,2908900000.0
"5 Lạc Long Quân, Q6",văn phòng,cho thuê,425.0,6,đầy đủ,tốt,667600000.0
"48 Võ Nguyên Giáp, Q3",nhà nguyên căn,bán,42.0,4,cơ bản,cũ,8786400000.0
"38 Phạm Ngũ Lão, Q8",phòng trọ,cho thuê,16.0,0,đầy đủ,mới,2900000.0
"32 Trường Chinh, Q4",phòng trọ,cho thuê,15.0,0,cơ bản,mới,1000000.0
"176 Hàm Nghi, Q6",phòng trọ,cho thuê,17.0,0,đầy đủ,tốt,3200000.0
"113 Phạm Văn Đồng, Q5",chung cư,bán,65.0,14,đầy đủ,mới,6235100000.0
"112 Võ Nguyên Giáp, Q2",phòng trọ,cho thuê,15.0,0,đầy đủ,mới,2700000.0
"18 Âu Cơ, Q9",phòng trọ,cho thuê,15.0,0,cơ bản,tốt,1200000.0
"185 Hai Bà Trưng, Q3",chung cư,bán,75.0,15,đầy đủ,tốt,6718700000.0
"190 Xô Viết Nghệ Tĩnh, Q1",phòng trọ,cho thuê,20.0,0,không có,cũ,3300000.0
"168 Hùng Vương, Q4",phòng trọ,cho thuê,12.0,0,cơ bản,tốt,1800000.0
"195 Châu Văn Liêm, Q3",phòng trọ,cho thuê,15.0,0,đầy đủ,tốt,2200000.0
"58 Công xã Paris, Q6",nhà nguyên căn,bán,39.0,1,đầy đủ,mới,2015300000.0
"41 Pasteur, Q10",nhà nguyên căn,cho thuê,28.0,4,đầy đủ,cũ,9400000.0
"77 Công xã Paris, Q2",chung cư,bán,120.0,12,cơ bản,mới,5337700000.0
"48 Lam Sơn, Q8",phòng trọ,cho thuê,16.0,0,không có,mới,2600000.0
"27 Quách Thị Trang, Q10",phòng trọ,cho thuê,10.0,0,cơ bản,mới,1700000.0
"142 Rừng Sác, Q2",phòng trọ,cho thuê,20.0,0,đầy đủ,cũ,1500000.0
"51 Nguyễn Huệ, Q2",chung cư,cho thuê,124.0,1,cơ bản,mới,22800000.0
"199 Lạc Long Quân, Q2",phòng trọ,cho thuê,13.0,0,đầy đủ,tốt,900000.0
"168 Lũy Bán Bích, Q1",phòng trọ,cho thuê,17.0,0,cơ bản,tốt,2300000.0
"80 Xô Viết Nghệ Tĩnh, Q5",phòng trọ,cho thuê,9.0,0,không có,cũ,1100000.0
"20 Đồng Khởi, Q4",phòng trọ,cho thuê,13.0,0,đầy đủ,tốt,1800000.0
"32 Trần Hưng Đạo, Q8",văn phòng,cho thuê,390.0,7,đầy đủ,cũ,287500000.0
"190 Nguyễn Hữu Cảnh, Q3",phòng trọ,cho thuê,18.0,0,không có,cũ,2100000.0
"186 Âu Cơ, Q8",phòng trọ,cho thuê,10.0,0,đầy đủ,tốt,1100000.0
"82 Rừng Sác, Q1",phòng trọ,cho thuê,10.0,0,không có,cũ,1300000.0
"123 Âu Cơ, Q9",phòng trọ,cho thuê,20.0,0,đầy đủ,mới,2500000.0
"157 Nguyễn Thị Minh Khai, Q3",nhà nguyên căn,cho thuê,32.0,5,cơ bản,mới,30400000.0
"96 Trường Chinh, Q7",chung cư,bán,70.0,14,không có,cũ,4151600000.0
"123 Quốc tế, Q2",nhà nguyên căn,cho thuê,40.0,3,không có,mới,12300000.0
"85 Lê Duẩn, Q9",phòng trọ,cho thuê,15.0,0,đầy đủ,tốt,1300000.0
"46 Lam Sơn, Q3",phòng trọ,cho thuê,10.0,0,cơ bản,tốt,1000000.0
"50 Châu Văn Liêm, Q9",phòng trọ,cho thuê,20.0,0,đầy đủ,tốt,2600000.0
"185 Cách Mạng Tháng Tám, Q5",phòng trọ,cho thuê,10.0,0,cơ bản,cũ,800000.0
"36 Lý Tự Trọng, Q1",phòng trọ,cho thuê,11.0,0,không có,cũ,1600000.0
"8 Dân Chủ, Q3",phòng trọ,cho thuê,10.0,0,không có,cũ,1700000.0
"71 Hai Bà Trưng, Q7",phòng trọ,cho thuê,18.0,0,đầy đủ,tốt,2300000.0
"132 Lê Văn Duyệt, Q7",nhà nguyên căn,cho thuê,28.0,5,đầy đủ,cũ,20700000.0
"96 Tôn Đức Thắng, Q7",phòng trọ,cho thuê,10.0,0,không có,cũ,1200000.0
"61 Nguyễn Hữu Cảnh, Q4",phòng trọ,cho thuê,10.0,0,cơ bản,mới,1700000.0
"191 Dân Chủ, Q9",nhà nguyên căn,bán,28.0,1,cơ bản,mới,1233200000.0
"67 Châu Văn Liêm, Q10",phòng trọ,cho thuê,10.0,0,không có,cũ,1100000.0
"103 Âu Cơ, Q8",chung cư,bán,70.0,10,không có,tốt,2177200000.0
"134 Hải Thượng Lãn Ông, Q5",nhà nguyên căn,cho thuê,35.0,2,không có,mới,5300000.0
"26 Hùng Vương, Q6",nhà nguyên căn,cho thuê,39.0,4,cơ bản,tốt,17800000.0
"173 Lý Thường Kiệt, Q10",nhà nguyên căn,bán,27.0,4,đầy đủ,tốt,4275700000.0
"172 Bùi Viện, Q5",phòng trọ,cho thuê,17.0,0,đầy đủ,cũ,1200000.0
"48 Bùi Viện, Q1",chung cư,cho thuê,65.0,7,cơ bản,tốt,7700000.0
"180 Nguyễn Trãi, Q3",chung cư,bán,84.0,4,không có,cũ,6562600000.0
"106 Âu Cơ, Q9",phòng trọ,cho thuê,20.0,0,cơ bản,cũ,2600000.0
"9 Lũy Bán Bích, Q5",phòng trọ,cho thuê,20.0,0,không có,tốt,2700000.0
"140 Nguyễn Thị Minh Khai, Q3",phòng trọ,cho thuê,9.0,0,không có,tốt,1200000.0
"112 Nguyễn Trãi, Q6",phòng trọ,cho thuê,13.0,0,đầy đủ,cũ,1600000.0
"6 Cách Mạng Tháng Tám, Q4",phòng trọ,cho thuê,20.0,0,đầy đủ,cũ,3100000.0
"59 Lý Tự Trọng, Q3",phòng trọ,cho thuê,20.0,0,cơ bản,tốt,3000000.0
"129 Pasteur, Q10",phòng trọ,cho thuê,18.0,0,không có,tốt,3300000.0
"196 Xô Viết Nghệ Tĩnh, Q3",phòng trọ,cho thuê,9.0,0,cơ bản,cũ,1300000.0
"187 Quách Thị Trang, Q1",nhà nguyên căn,bán,39.0,4,không có,tốt,11363700000.0
"182 Nguyễn Hữu Cảnh, Q3",phòng trọ,cho thuê,16.0,0,đầy đủ,cũ,1300000.0
"45 Mê Linh, Q3",phòng trọ,cho thuê,9.0,0,cơ bản,mới,1100000.0
"186 Trần Hưng Đạo, Q9",phòng trọ,cho thuê,12.0,0,đầy đủ,mới,1700000.0
"164 Võ Nguyên Giáp, Q9",phòng trọ,cho thuê,18.0,0,không có,tốt,1900000.0
"92 CMT8, Q9",nhà nguyên căn,cho thuê,36.0,2,cơ bản,tốt,8700000.0
"17 Châu Văn Liêm, Q2",nhà nguyên căn,cho thuê,31.0,5,không có,mới,21400000.0
"111 Tôn Đức Thắng, Q3",phòng trọ,cho thuê,10.0,0,cơ bản,cũ,600000.0
"117 Rừng Sác, Q7",phòng trọ,cho thuê,17.0,0,không có,cũ,1800000.0
"42 Lý Tự Trọng, Q3",phòng trọ,cho thuê,17.0,0,đầy đủ,mới,2100000.0
"190 Trường Chinh, Q7",phòng trọ,cho thuê,11.0,0,đầy đủ,mới,1800000.0
"136 Rừng Sác, Q1",chung cư,bán,124.0,20,không có,tốt,9468400000.0
"69 Công xã Paris, Q5",phòng trọ,cho thuê,14.0,0,cơ bản,cũ,1900000.0
"148 Nam Kỳ Khởi Nghĩa, Q4",nhà nguyên căn,bán,41.0,4,cơ bản,cũ,7893800000.0
"87 Lam Sơn, Q6",phòng trọ,cho thuê,9.0,0,cơ bản,mới,1600000.0
"100 Nguyễn Thị Minh Khai, Q9",phòng trọ,cho thuê,17.0,0,đầy đủ,tốt,2100000.0
"76 Quách Thị Trang, Q6",phòng trọ,cho thuê,18.0,0,không có,tốt,1200000.0
"13 Nguyễn Huệ, Q3",phòng trọ,cho thuê,13.0,0,cơ bản,tốt,1500000.0
